,0,1,2,3
29,29,-5.4981333333333335,0.00998645168764533,"[8, 3, 8, 11, 11, 0, 0, 3, 4, 2, 11, 12, 12, 3, 12, 4, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 8, 10, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
30,30,2.2941,0.00998645168764533,"[8, 8, 11, 11, 14, 11, 0, 7, 3, 0, 3, 3, 4, 12, 12, 12, 1, 1, 13, 10, 10, 10, 2, 2, 0, 12, 12, 12, 4, 2, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
31,31,-10.1003,0.00998645168764533,"[10, 11, 11, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 4, 10, 4, 1, 2, 13, 2, 12, 12, 10, 10, 10, 10, 10, 10, 4, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
32,32,-1.798066666666667,0.00998645168764533,"[4, 12, 12, 1, 3, 3, 10, 4, 2, 2, 11, 11, 13, 13, 4, 10, 11, 2, 8, 1, 7, 1, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 1, 1, 1, 1, 1, 1, 1, 11]"
33,33,-6.9450666666666665,0.00998645168764533,"[4, 2, 2, 1, 1, 4, 2, 7, 11, 11, 1, 11, 3, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 3, 11, 11, 11, 13, 13]"
34,34,-8.890166666666667,0.00998645168764533,"[4, 2, 2, 1, 4, 1, 2, 13, 13, 5, 5, 4, 13, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 13, 13, 13, 13, 13, 4, 4, 4, 4, 4, 4, 4, 4, 1, 13, 13, 13]"
35,35,-5.641000000000001,0.00998645168764533,"[4, 2, 2, 1, 5, 4, 1, 1, 7, 3, 7, 3, 13, 2, 13, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 7, 4, 2, 4, 2, 2, 2, 2, 2, 1, 1, 1]"
36,36,-5.816533333333333,0.00998645168764533,"[4, 2, 1, 2, 1, 3, 3, 6, 2, 6, 13, 13, 5, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 5, 13, 10, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
37,37,-11.1482,0.00998645168764533,"[4, 7, 3, 7, 1, 1, 3, 13, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 4, 5, 13, 5, 13, 4, 5, 5]"
38,38,-1.8893999999999995,0.00998645168764533,"[4, 6, 13, 13, 5, 5, 4, 5, 14, 14, 14, 9, 14, 6, 3, 7, 14, 14, 14, 14, 3, 13, 3, 4, 7, 1, 7, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 13, 13, 13, 13]"
39,39,-9.1742,0.00998645168764533,"[13, 4, 4, 7, 7, 13, 5, 5, 9, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 14, 14, 14, 4, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
40,40,-8.6563,0.00998645168764533,"[13, 4, 4, 7, 7, 13, 3, 5, 5, 13, 5, 3, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 4, 13, 13, 13, 13, 13, 13, 13, 13, 10, 9, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
41,41,-6.437666666666667,0.00998645168764533,"[13, 4, 4, 7, 7, 5, 5, 13, 9, 5, 3, 7, 3, 3, 5, 5, 5, 13, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
42,42,-6.049366666666667,0.00998645168764533,"[11, 4, 4, 7, 7, 9, 3, 7, 3, 3, 13, 13, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 9, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
43,43,-12.0581,0.00998645168764533,"[4, 7, 3, 7, 10, 9, 3, 4, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5]"
44,44,-8.573033333333333,0.00998645168764533,"[9, 3, 7, 3, 3, 5, 4, 7, 9, 9, 0, 7, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 4, 7, 7, 0, 9, 9]"
45,45,-12.705099999999998,0.00998645168764533,"[0, 9, 9, 0, 3, 3, 9, 4, 0, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 7, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,46,-9.927233333333332,0.00998645168764533,"[0, 9, 9, 0, 3, 3, 9, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 5, 5, 5, 6, 15, 7, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3]"
47,47,-2.5741666666666663,0.00998645168764533,"[0, 9, 4, 5, 9, 0, 5, 6, 15, 6, 3, 15, 10, 10, 15, 6, 10, 7, 15, 15, 3, 4, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 7, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 0, 4, 7, 15]"
48,48,-6.265499999999999,0.00998645168764533,"[4, 6, 7, 3, 4, 7, 7, 3, 0, 10, 9, 3, 15, 4, 0, 4, 4, 15, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 9, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
49,49,-0.7601666666666664,0.00998645168764533,"[9, 9, 5, 5, 15, 10, 3, 3, 3, 4, 6, 1, 6, 6, 6, 6, 6, 1, 10, 0, 10, 4, 7, 4, 7, 7, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
50,50,-10.149699999999998,0.00998645168764533,"[4, 6, 1, 5, 5, 4, 7, 15, 10, 10, 4, 4, 4, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 10, 1, 10, 10, 10, 11]"
51,51,-6.079699999999998,0.00998645168764533,"[9, 5, 5, 4, 10, 10, 15, 4, 9, 5, 11, 11, 11, 10, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 10, 10, 10, 10, 10, 2]"
52,52,-5.532966666666665,0.00998645168764533,"[0, 9, 5, 5, 4, 5, 10, 10, 11, 11, 9, 11, 4, 10, 7, 4, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 15, 10, 10, 10, 10, 10, 10, 10]"
53,53,-7.700366666666665,0.00998645168764533,"[10, 5, 4, 5, 10, 4, 10, 5, 4, 7, 11, 11, 11, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 9, 10, 10, 10, 10, 10, 10, 10, 9, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
54,54,-4.229233333333332,0.00998645168764533,"[9, 5, 5, 10, 10, 4, 5, 11, 7, 9, 7, 11, 11, 4, 11, 11, 11, 13, 4, 7, 9, 4, 4, 4, 4, 7, 7, 4, 4, 4, 7, 7, 7, 7, 7, 7, 7, 4, 4, 1, 4, 4, 7, 7, 4, 4, 4, 4]"
55,55,-8.6012,0.00998645168764533,"[7, 4, 5, 5, 11, 11, 4, 11, 9, 9, 5, 7, 11, 11, 11, 11, 11, 11, 11, 11, 0, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
56,56,-10.817000000000002,0.00998645168764533,"[0, 5, 5, 11, 11, 4, 4, 11, 4, 7, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 9, 11, 11, 11, 11, 7, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
57,57,-5.5905,0.00998645168764533,"[0, 5, 5, 4, 7, 4, 11, 11, 11, 4, 9, 5, 11, 11, 11, 11, 7, 11, 11, 11, 11, 9, 7, 10, 9, 11, 11, 11, 11, 11, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 9, 9, 4, 9, 9, 1]"
58,58,-6.026666666666666,0.00998645168764533,"[5, 5, 4, 7, 9, 5, 9, 1, 5, 5, 5, 5, 5, 3, 7, 11, 11, 9, 4, 7, 1, 5, 5, 5, 5, 5, 5, 13, 5, 5, 5, 5, 5, 5, 5, 13, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
59,59,-6.5199,0.00998645168764533,"[5, 5, 4, 7, 9, 5, 9, 7, 9, 9, 4, 7, 10, 10, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 1, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
60,60,-6.8162666666666665,0.00998645168764533,"[9, 5, 5, 9, 5, 6, 10, 3, 9, 13, 1, 1, 1, 9, 9, 9, 9, 9, 9, 9, 5, 0, 9, 9, 9, 9, 9, 9, 4, 10, 13, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
61,61,-5.542166666666666,0.00998645168764533,"[13, 5, 5, 4, 1, 12, 1, 5, 9, 12, 9, 12, 3, 7, 1, 7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
